,-14.49,-13.51,P
thor still,-1790.89,-1804.87,S
make gift ,-1169.19,-1089.77,P
latina tee,-399.76,-375.3,P
book corpu,-1473.28,-1778.22,S
trash bash,-796.72,-852.51,S
organis an,-1893.58,-2071.39,S
calpin dai,-130.64,-145.41,S
invit hell,-251.28,-244.16,P
challeng d,-1764.87,-1747.85,P
sun 15 sep,-876.71,-928.98,S
skip monta,-1077.95,-1113.31,S
db base wh,-575.16,-604.01,S
pragmat co,-1409.98,-1633.88,S
h eyeforen,-4954.87,-5118.18,S
new albani,-219.95,-246.2,S
new comput,-157.52,-159.65,S
miss bloom,-8201.65,-8644.16,S
free phone,-455.09,-433.19,P
want boss ,-1953.24,-1826.03,P
e market s,-519.89,-471.06,P
approv mon,-1338.54,-1424.4,S
kenneth ne,-728.09,-756.34,S
master ter,-433.22,-479.79,S
wick rug k,-727.34,-630.86,P
netco yep ,-450.21,-511.74,S
job number,-129.96,-135.94,S
creditfixt,-488.67,-440.6,P
hello ani ,-672.35,-704.89,S
premium re,-720.59,-667.78,P
seagat 20 ,-1834.87,-1639.26,P
like 100 t,-372.93,-344.96,P
pleas visi,-96.42,-90.47,P
matthia ha,-778.49,-808.18,S
abbl 1 nl ,-877.28,-909.35,S
ambien ref,-4319.42,-3933.43,P
better sen,-727.53,-839.61,S
empti ,-23.89,-21.65,P
dear jm ne,-2045.54,-1799.15,P
ship world,-1260.6,-1089.48,P
ncl salli ,-896.08,-929.19,S
marathon f,-239.56,-263.96,S
said befor,-311.57,-320.48,S
empti ,-23.89,-21.65,P
justt tri ,-649.88,-584.64,P
cornhusk c,-320.52,-347.42,S
remind flu,-3465.7,-3729.24,S
yahoo grou,-75306.85,-79622.34,S
empti ,-23.89,-21.65,P
mail deliv,-6991.01,-6701.31,P
hello rsha,-1038.47,-976.16,P
april vip ,-1393.04,-1343.57,P
run pick u,-739.51,-804.03,S
deal 15607,-1373.03,-1604.1,S
adam l beb,-421.58,-449.03,S
wait refin,-505.36,-446.6,P
danzig car,-268.31,-236.97,P
schedul cr,-169.75,-191.12,S
look new j,-243.76,-226.13,P
mon 5 aug ,-669.14,-701.98,S
interview ,-927.46,-1020.34,S
second cfp,-5954.67,-7036.5,S
gari murph,-4418.36,-4241.51,P
g mulder i,-2756.0,-2965.24,S
question b,-782.76,-805.59,S
norton ad ,-1354.66,-1235.09,P
better via,-475.43,-419.28,P
use perl d,-4246.68,-4664.3,S
url http d,-802.18,-836.56,S
daili stoc,-7302.72,-6406.24,P
inland res,-509.56,-519.63,S
possibl us,-1060.64,-1118.87,S
associ ana,-1845.38,-1997.28,S
fw asset s,-571.73,-607.06,S
tue aug 13,-580.71,-616.69,S
get big mo,-1088.81,-1006.94,P
new albani,-875.67,-905.55,S
come porn ,-611.58,-579.69,P
etc sendma,-2500.85,-2651.05,S
mon 5 aug ,-262.48,-276.41,S
complex la,-3555.95,-4251.28,S
6 1110 dis,-1362.36,-1435.37,S
mg staff v,-1962.79,-2092.32,S
book funct,-2162.82,-2490.13,S
offici fai,-554.88,-569.85,S
chapter de,-997.85,-1105.96,S
site licen,-3525.05,-4026.42,S
url http s,-322.89,-346.62,S
contract 1,-1269.6,-1335.56,S
nri number,-17595.7,-18110.16,S
linguist d,-2595.77,-2870.77,S
date mater,-6094.62,-5954.48,P
transco ba,-316.02,-350.01,S
sometim li,-99.21,-99.13,P
use perl d,-1117.24,-1216.97,S
daniel kar,-3485.3,-3321.02,P
socialon j,-1109.15,-1057.39,P
appoint ch,-1079.2,-1005.38,P
stumbl gre,-2026.64,-1929.98,P
overwhelmi,-340.42,-321.15,P
highli rec,-663.6,-576.59,P
linguist n,-1520.88,-1656.29,S
urgent ass,-1947.95,-1820.23,P
joint prob,-377.63,-390.95,S
empti ,-23.89,-21.65,P
paliourg m,-281.37,-253.84,P
url http w,-262.27,-277.87,S
empti ,-23.89,-21.65,P
nation cha,-786.23,-778.76,P
palm pilot,-2400.95,-2678.79,S
saguaro ex,-475.67,-495.36,S
also chang,-832.52,-868.06,S
secur offe,-216.03,-200.58,P
get readi ,-464.41,-429.08,P
simpli sen,-810.25,-980.28,S
thought re,-812.19,-873.77,S
sun 28 jul,-1266.84,-1400.87,S
hershey  ,-285.12,-255.13,P
supervisor,-4108.24,-4313.83,S
um confus ,-1562.44,-1636.13,S
visit inte,-297.24,-279.56,P
tom said q,-613.79,-638.66,S
hey owe mo,-469.21,-446.28,P
empti ,-23.89,-21.65,P
empti ,-23.89,-21.65,P
reschedul ,-311.65,-323.12,S
best erect,-677.58,-622.1,P
play penni,-7230.04,-6334.27,P
sharad upd,-1024.51,-1130.75,S
onlin educ,-44.38,-42.3,P
even appet,-1015.09,-953.74,P
friday 06 ,-1419.51,-1503.12,S
auto repli,-8727.65,-7829.44,P
gari funck,-725.39,-789.85,S
also tri d,-5187.2,-5867.46,S
follow bud,-1320.88,-1501.26,S
url http s,-426.0,-459.32,S
updat webp,-724.52,-831.49,S
enron ment,-35667.82,-38807.02,S
html bodi ,-3215.41,-2935.53,P
bg 7 2 199,-1455.52,-1605.46,S
â free per,-13517.26,-12794.86,P
local soft,-696.28,-624.06,P
greeat med,-689.92,-607.92,P
url http w,-176.63,-187.98,S
visual ide,-465.87,-401.42,P
sum 501 be,-7946.19,-8250.84,S
ft pierc m,-322.18,-338.31,S
heart busi,-641.44,-571.91,P
ansi x 3 4,-2954.41,-2985.76,S
5 1240 int,-829.87,-925.61,S
qualiti me,-976.58,-894.69,P
fifth inte,-2566.95,-2930.08,S
ani sage a,-1664.34,-1822.53,S
profit tec,-5060.61,-4865.55,P
budget org,-629.78,-649.47,S
mydiscount,-459.88,-401.45,P
recent rea,-1373.82,-1430.08,S
happen let,-596.34,-672.33,S
bizmagoffe,-859.26,-785.24,P
new e mail,-652.74,-739.65,S
queri lett,-1366.02,-1508.42,S
emerg grow,-6271.07,-5900.35,P
yyyi spama,-389.43,-399.57,S
empti ,-23.89,-21.65,P
guarante i,-706.74,-650.37,P
document c,-207.36,-202.12,P
decid tri ,-720.46,-760.32,S
best got b,-2340.55,-2248.22,P
new book i,-1759.98,-1968.62,S
tri reach ,-509.31,-577.2,S
trip plan ,-387.26,-392.18,S
2002 08 16,-14815.24,-15153.3,S
empti ,-23.89,-21.65,P
eol guest ,-1271.97,-1350.87,S
beaton abu,-366.15,-330.98,P
rice enron,-1714.24,-2116.09,S
energi ope,-598.27,-635.47,S
karthik ra,-321.07,-325.89,S
save 70 pe,-1970.57,-1700.4,P
â â ir tax,-907.72,-688.51,P
request su,-410.8,-427.71,S
url http w,-539.81,-546.47,S
get vlagra,-688.31,-628.41,P
volum ii t,-1015.24,-1161.46,S
url http w,-631.34,-631.25,P
job postdo,-1312.48,-1514.55,S
enbridg bu,-3701.97,-3764.58,S
pserc indu,-944.11,-1045.13,S
book funct,-6271.62,-7314.65,S
buy viagra,-233.03,-210.13,P
begin pgp ,-1036.33,-1078.17,S
third inte,-10300.52,-11524.92,S
enron meth,-359.26,-389.53,S
date tue 2,-5960.62,-6269.51,S
proceed wo,-925.49,-1035.64,S
mna 11 15 ,-618.89,-680.06,S
nasa weath,-624.3,-636.21,S
languag ac,-2211.37,-2451.15,S
photo gift,-276.68,-272.61,P
derecho la,-3715.26,-3342.72,P
http defin,-1184.8,-1214.27,S
start date,-287.46,-329.09,S
fernley sa,-385.86,-415.6,S
09 08 02 2,-2550.46,-2662.53,S
j joseph b,-536.74,-578.46,S
hello gari,-652.0,-694.59,S
septemb pn,-531.82,-553.32,S
deliveri c,-489.3,-454.38,P
beth perlm,-347.28,-362.16,S
messag dat,-334.42,-361.7,S
url http w,-273.95,-289.42,S
gut reacti,-503.62,-514.16,S
bang buck ,-624.01,-634.65,S
tadalafil ,-689.42,-595.01,P
updat unio,-456.58,-459.65,S
origin mes,-1919.52,-2012.2,S
work wonnd,-705.6,-629.36,P
show longh,-1802.55,-1886.01,S
transport ,-6128.72,-6495.49,S
similar ac,-516.28,-477.99,P
risk trac ,-874.29,-964.42,S
empti ,-23.89,-21.65,P
fuel appli,-2202.06,-2562.91,S
â dear hom,-793.2,-720.53,P
john p loo,-488.25,-514.7,S
promot pro,-1039.36,-957.56,P
gl 1995 sc,-9162.63,-10597.24,S
tx gen lan,-559.09,-589.85,S
reduc spam,-1093.1,-1022.77,P
regist com,-1147.74,-1103.0,P
labov tens,-300.91,-352.43,S
http www h,-1007.39,-1031.82,S
congratul ,-182.2,-193.53,S
fork admin,-728.31,-753.06,S
ever tri t,-985.22,-896.82,P
way get qu,-996.07,-884.46,P
adob xp pr,-1509.24,-1394.91,P
matur mom ,-798.25,-749.37,P
splash pag,-754.91,-782.16,S
advic mon ,-367.7,-356.96,P
thu 25 jul,-619.98,-630.32,S
dear lanig,-504.99,-436.84,P
url http w,-240.09,-250.35,S
correct sa,-629.16,-694.53,S
fri 2002 0,-390.14,-436.22,S
nlp ia 98 ,-6189.9,-7074.77,S
greet palm,-3846.69,-3625.31,P
well know ,-684.83,-705.46,S
url http b,-1949.16,-2089.72,S
psycholing,-2251.15,-2567.41,S
ã¿ffffa9 c,-183.35,-164.32,P
dictionari,-4455.71,-5089.43,S
url http w,-219.23,-231.99,S
leaver con,-181.59,-194.26,S
start date,-291.25,-333.66,S
declan gra,-1163.55,-1231.24,S
perceiv pe,-2079.11,-2462.53,S
logic aspe,-5928.97,-6711.44,S
profession,-463.03,-398.41,P
muc 7 call,-9354.78,-10191.25,S
lose 19 po,-1037.71,-985.05,P
new page 1,-618.16,-554.24,P
weight nic,-405.17,-407.22,S
syntax phi,-1178.9,-1468.33,S
utf 8 q eq,-269.46,-246.38,P
email addr,-664.69,-724.95,S
best regar,-1809.48,-1764.92,P
mortgag r ,-99.73,-91.99,P
mon 19 aug,-486.08,-503.76,S
updat q en,-410.31,-445.65,S
fortun awa,-2603.33,-2458.44,P
interest r,-303.92,-289.89,P
eurogp 99 ,-8125.82,-9066.14,S
wish activ,-292.66,-277.58,P
r 3 mov 3 ,-912.16,-886.86,P
e earn 150,-1369.23,-1261.61,P
favor crea,-337.24,-349.15,S
mlcro 0 ft,-1105.25,-1018.75,P
url http w,-238.3,-243.58,S
help case ,-1158.35,-1112.0,P
confer dc ,-143.4,-143.06,P
wharton tr,-197.66,-219.45,S
recent cam,-1050.95,-1034.81,P
languag is,-785.93,-888.24,S
legal cabl,-2984.62,-2841.01,P
04 01 assi,-457.6,-472.98,S
vp directo,-670.24,-726.73,S
seek oppor,-516.78,-543.55,S
smi 23 for,-538.43,-584.69,S
subject an,-435.79,-418.92,P
adb propos,-2507.89,-2404.23,P
budget que,-692.69,-718.05,S
wife reall,-933.82,-847.41,P
premium of,-1085.66,-878.43,P
acl 99 the,-3684.1,-4308.75,S
onlin sale,-533.33,-494.39,P
2 q soft m,-830.34,-881.66,S
microsoft ,-1049.12,-947.89,P
start date,-592.66,-666.56,S
h1 td font,-1481.96,-1348.65,P
commit xp ,-1210.1,-1043.12,P
updat cvsr,-1298.45,-1378.97,S
human reso,-2288.56,-2448.12,S
whole ad r,-601.61,-547.87,P
real time ,-603.7,-539.65,P
call lowla,-876.35,-977.07,S
fluid anal,-820.7,-767.45,P
cheapest m,-681.98,-605.63,P
dont spend,-936.41,-879.22,P
receiv 216,-11173.45,-10710.77,P
look cheap,-714.72,-643.45,P
,-14.49,-13.51,P
okay read ,-833.75,-882.32,S
apolog pos,-668.75,-709.35,S
apolog lou,-478.3,-486.25,S
kate knick,-112.95,-104.91,P
psychic me,-546.19,-501.11,P
hello vi g,-370.9,-341.92,P
point chan,-1024.74,-1198.77,S
fast norma,-1253.96,-1326.04,S
empti ,-23.89,-21.65,P
url http w,-235.51,-246.41,S
get prescr,-53.51,-44.41,P
url http w,-431.83,-457.75,S
sure wish ,-7385.15,-6767.28,P
sum ocr so,-1946.53,-2090.65,S
enron ment,-12919.98,-13907.78,S
intern lex,-5032.34,-5880.8,S
onc upon t,-1194.16,-1271.71,S
waitt ani ,-622.99,-561.39,P
tenaska 11,-620.9,-662.69,S
6 797 comp,-1273.34,-1392.35,S
tech updat,-4707.42,-4720.06,S
sampl adul,-152.31,-144.1,P
dearli bel,-2595.34,-2486.59,P
empti ,-23.89,-21.65,P
monthli bu,-303.62,-345.6,S
want ninte,-47.5,-43.71,P
earn thi s,-4169.6,-3876.05,P
everybodi ,-523.96,-518.23,P
harvest lo,-2104.59,-1954.61,P
20806 hell,-533.45,-492.57,P
wow check ,-1306.38,-1198.48,P
tiger team,-114.83,-116.1,S
thank loan,-374.28,-360.19,P
e h tuttl ,-385.76,-426.52,S
perfect vi,-460.15,-404.83,P
exclus off,-454.15,-400.77,P
nation for,-1175.66,-1396.15,S
dear jm â ,-2388.26,-2120.32,P
call phone,-2058.79,-1964.81,P
softwar ex,-7167.55,-8111.99,S
stox maven,-3681.02,-3391.37,P
itinerari ,-56.81,-63.62,S
linguist a,-8575.85,-9996.96,S
green card,-443.57,-460.87,S
empti ,-23.89,-21.65,P
tue 2002 0,-708.26,-773.87,S
hotlist up,-796.86,-870.67,S
diachroni ,-2917.55,-3376.66,S
r russel t,-1023.25,-1056.95,S
6 sep 2002,-1065.47,-1103.53,S
hello sati,-657.92,-626.14,P
empti ,-23.89,-21.65,P
fw back of,-368.68,-379.64,S
complet ho,-17464.43,-16680.18,P
california,-4404.14,-4574.88,S
11 06 9 18,-423.01,-453.39,S
current ne,-129.95,-132.13,S
hard even ,-131.96,-119.74,P
case theft,-1457.96,-1495.78,S
urgent pro,-2406.26,-2255.2,P
5 thi go f,-412.42,-403.97,P
updat cont,-198.1,-225.46,S
spring sav,-1843.03,-1799.52,P
direct u m,-351.57,-351.48,P
sorri ot w,-1213.46,-1280.03,S
q process ,-1636.33,-1757.19,S
fw first d,-3289.99,-3869.34,S
buy gener ,-680.16,-579.07,P
wednesday ,-829.68,-869.07,S
nomin 2 4 ,-709.63,-813.31,S
enron case,-1189.93,-1496.62,S
still beli,-587.09,-548.24,P
whi p 9 ua,-940.9,-857.04,P
onlin powe,-2631.66,-2761.17,S
run littl ,-496.74,-491.79,P
hall 13464,-725.07,-769.86,S
new ucla d,-652.78,-783.38,S
new book l,-2787.44,-3147.94,S
take dream,-412.76,-381.1,P
eventu bus,-211.59,-214.78,S
forward am,-332.29,-387.33,S
link text ,-3280.87,-2988.66,P
2nd call p,-5296.04,-6111.57,S
notif bequ,-1639.69,-1561.35,P
today save,-459.85,-438.81,P
26 jul 200,-1530.46,-1566.65,S
new capita,-4455.81,-4400.29,P
cnet inves,-5621.11,-5731.08,S
toc intern,-1332.27,-1562.96,S
tue 2002 0,-359.17,-393.82,S
congratul ,-3268.92,-3118.88,P
eugen leit,-510.15,-544.48,S
mongolian ,-216.83,-225.08,S
iso 8859 1,-1846.34,-1753.32,P
desk dr sa,-2875.15,-2760.79,P
hello bevs,-510.41,-471.56,P
louis sinc,-1733.24,-1801.99,S
signific m,-635.02,-570.52,P
empti ,-23.89,-21.65,P
url http w,-214.51,-220.33,S
heard kevi,-917.29,-988.5,S
pay much h,-919.24,-863.02,P
vacat vaca,-548.3,-576.58,S
account 80,-1451.24,-1312.94,P
4 urgent o,-2010.71,-2126.42,S
empti ,-23.89,-21.65,P
doctor use,-626.86,-543.57,P
church aa ,-1346.56,-1405.45,S
fortun lit,-391.21,-361.92,P
use perl d,-940.26,-1039.58,S
ha anyon m,-826.85,-854.67,S
bei enron ,-505.75,-549.74,S
empti ,-23.89,-21.65,P
h g h seen,-314.12,-292.82,P
ipa enjoy ,-1092.87,-1251.73,S
tenaska iv,-2681.14,-3007.56,S
dome camer,-2336.4,-2271.89,P
enron stoc,-7201.35,-7787.16,S
greet ps y,-521.25,-555.05,S
fw realmon,-296.78,-335.26,S
save money,-115.0,-101.15,P
updat nepc,-163.77,-176.02,S
jeff maild,-1660.15,-1782.61,S
pastoria u,-1106.84,-1189.61,S
gari lawre,-1829.28,-1842.44,S
neon discu,-407.21,-429.21,S
actual thi,-366.54,-398.05,S
book termi,-1748.43,-1967.97,S
call paper,-2582.04,-3003.95,S
metal immi,-6493.92,-6961.53,S
kevin rior,-997.69,-1090.1,S
schedual m,-7791.9,-7172.41,P
expect lou,-1154.42,-1253.65,S
â doe anyo,-1285.23,-1193.76,P
peter fwde,-765.53,-791.31,S
15 fire pi,-1580.36,-1416.42,P
see headli,-229.62,-241.12,S
begin pgp ,-1917.36,-1976.22,S
industri r,-2454.73,-2931.81,S
gtv ii wee,-1373.73,-1489.9,S
url http w,-316.61,-324.56,S
thought pa,-1538.38,-1537.88,P
guess firs,-800.86,-868.64,S
nel 29 cal,-1541.13,-1757.24,S
place find,-133.86,-129.27,P
miracl pro,-4233.67,-3896.45,P
causal con,-1073.97,-1250.36,S
wait hear ,-1158.07,-1093.88,P
book meet ,-167.71,-181.4,S
fw entouch,-6423.31,-6796.09,S
youth gang,-562.08,-605.66,S
start date,-287.15,-329.29,S
empti ,-23.89,-21.65,P
wed 06 jul,-391.05,-372.64,P
tenaska iv,-1382.17,-1554.47,S
thu sep 05,-883.79,-951.53,S
use perl d,-1084.11,-1159.61,S
thank plea,-2592.52,-2955.27,S
easi make ,-12732.91,-11941.97,P
carnegi me,-411.39,-460.82,S
popular wo,-853.14,-820.73,P
increas vo,-363.03,-437.24,S
dear bevst,-498.85,-449.2,P
duke casho,-575.48,-592.07,S
fw rto wee,-4270.53,-4509.94,S
final call,-1179.7,-1319.62,S
2 q soft m,-89.85,-94.32,S
url http w,-212.9,-217.21,S
calendar r,-565.95,-582.79,S
url http w,-701.67,-723.72,S
chri sherm,-227.79,-243.48,S
possibl su,-602.51,-692.61,S
commodityl,-413.76,-431.16,S
url http b,-730.45,-758.41,S
problem mo,-2946.84,-3198.37,S
minimalist,-1256.37,-1459.09,S
electron p,-964.03,-1018.27,S
caolan mcn,-1142.07,-1205.51,S
new amaz i,-1814.78,-1643.61,P
arab studi,-622.52,-688.56,S
eugen leit,-3615.21,-3685.54,S
graphic so,-1409.6,-1177.11,P
conf trans,-2550.26,-2903.38,S
actual lik,-307.58,-326.46,S
fwd cursor,-524.17,-504.49,P
use perl d,-495.71,-539.93,S
comput sem,-3078.78,-3675.67,S
cannot det,-1725.09,-1761.35,S
ncph coal ,-845.75,-866.7,S
follow con,-978.21,-1091.94,S
empti ,-23.89,-21.65,P
ï¿½ â â â ,-838.67,-678.61,P
interest h,-744.14,-693.79,P
url http s,-342.82,-363.92,S
bibliograp,-5264.72,-6033.31,S
url http w,-203.54,-211.02,S
pay le mic,-1109.06,-1023.28,P
balanc she,-423.0,-446.89,S
convien fo,-7385.42,-6359.88,P
ee exampl ,-108.72,-117.41,S
summari vo,-7569.57,-8436.46,S
paliourg s,-1894.38,-1643.2,P
answer eim,-468.33,-496.08,S
east power,-906.71,-937.52,S
photo spra,-603.62,-572.1,P
ecai 98 11,-996.08,-1175.71,S
thi multip,-5603.36,-4935.83,P
untitl rec,-425.3,-389.99,P
new book b,-1337.12,-1583.85,S
abb contra,-772.66,-805.09,S
unlimit so,-4564.18,-4153.67,P
empti ,-23.89,-21.65,P
reflex ent,-2164.37,-2127.54,P
dear ilug ,-1731.79,-1658.03,P
tw conoco ,-718.7,-760.15,S
etc rc ini,-173.23,-176.01,S
aeuro hour,-848.5,-755.71,P
tuesday de,-1903.49,-2399.56,S
req info i,-344.2,-394.53,S
summari so,-11241.65,-12885.21,S
new web te,-990.3,-948.26,P
anjam term,-633.37,-670.22,S
ew tax upd,-296.78,-316.69,S
contract 2,-2060.46,-2199.19,S
chang set ,-209119.64,-217521.83,S
8th intern,-472.16,-540.09,S
fw cm rfp ,-843.52,-917.31,S
countri ri,-1579.88,-1834.99,S
empti ,-23.89,-21.65,P
privat vl ,-58.26,-46.67,P
result tim,-802.11,-828.62,S
watch thi ,-3136.78,-2949.55,P
quot brian,-1401.65,-1460.81,S
roll chang,-1627.21,-1724.68,S
never forg,-1347.83,-1310.37,P
eastran no,-1531.07,-1800.26,S
want make ,-680.02,-642.34,P
avail revi,-2005.86,-2271.8,S
http www h,-611.89,-637.57,S
free profi,-16830.9,-14423.37,P
empti ,-23.89,-21.65,P
coke pepsi,-253.77,-234.0,P
6 783 germ,-561.44,-622.89,S
realli coo,-5580.11,-5431.5,P
empti ,-23.89,-21.65,P
young teen,-526.28,-484.41,P
tue aug 13,-3951.21,-4160.16,S
hello wa e,-3055.2,-2875.25,P
url http b,-996.68,-1028.76,S
eott optio,-1111.43,-1184.15,S
,-14.49,-13.51,P
louisiana ,-1018.89,-1044.06,S
telephon i,-1501.62,-1700.01,S
opportun o,-1731.46,-1629.18,P
2004 edit ,-1491.69,-1388.64,P
manag chan,-517.33,-558.09,S
hunza brea,-608.54,-546.28,P
contract a,-507.93,-566.92,S
1 sourc so,-317.55,-291.23,P
say goodby,-1222.63,-1084.77,P
valero 10 ,-571.01,-645.11,S
8 30 trade,-1558.24,-1695.16,S
eg em ca x,-232.41,-190.23,P
596 661 he,-556.59,-529.69,P
vinc vasan,-1253.75,-1327.14,S
nicktri ph,-447.59,-472.85,S
oem ship v,-1443.22,-1236.03,P
matter all,-541.54,-448.8,P
brian fost,-1040.51,-1081.75,S
url http w,-376.45,-395.07,S
guy thi an,-609.91,-530.03,P
winter cap,-419.09,-444.73,S
skip tri c,-120.71,-119.39,P
order pres,-77.34,-66.2,P
bridgelin ,-3865.33,-4100.29,S
mortgag ev,-424.22,-398.17,P
enron actu,-212.45,-254.22,S
build home,-2104.48,-1929.02,P
conflict a,-3108.58,-3410.84,S
store data,-1413.93,-1451.69,S
rescu high,-716.69,-669.52,P
kevin lyda,-998.16,-1053.29,S
build scri,-817.7,-856.85,S
best debt ,-3635.28,-3496.0,P
soft incre,-187.8,-175.4,P
stephen wi,-1285.38,-1328.19,S
mr ike ejo,-2124.11,-1989.25,P
unless par,-1104.09,-1157.71,S
enron posi,-1319.6,-1374.59,S
logist inf,-286.6,-304.18,S
free sex h,-414.12,-390.59,P
thu sep 19,-1927.41,-1981.72,S
smart deci,-2027.72,-1933.24,P
best free ,-156.21,-138.43,P
clark c ev,-864.19,-913.43,S
zeek said ,-1345.81,-1415.23,S
soa ceas p,-2125.15,-2289.46,S
earn high ,-588.32,-552.86,P
fantast in,-5917.16,-5288.91,P
remov thi ,-585.61,-533.64,P
elizabeth ,-480.25,-459.82,P
interview ,-294.15,-319.65,S
nystesol a,-3015.0,-3335.56,S
next inves,-9034.79,-8456.01,P
greet cali,-438.23,-427.72,P
thursday 1,-1713.62,-1772.03,S
coupl thin,-421.52,-482.02,S
window xp ,-4042.06,-3746.25,P
spew forc ,-962.24,-982.14,S
gordon moh,-2342.76,-2372.55,S
check buil,-934.45,-1056.08,S
protect fi,-1201.51,-1106.9,P
come fun e,-10678.3,-10261.42,P
powerbal r,-681.51,-669.53,P
url http b,-559.61,-577.3,S
cnet downl,-10598.75,-10539.14,P
uk drift a,-1422.99,-1639.98,S
moiadherb ,-956.61,-874.66,P
empti ,-23.89,-21.65,P
ad said ma,-15126.3,-12918.72,P
ebay aucti,-44.45,-39.49,P
schedul cr,-1565.81,-1792.94,S
new page 1,-4284.45,-4071.4,P
make yor h,-345.49,-329.59,P
cnsnew com,-1025.29,-1040.22,S
dell quinn,-406.75,-427.42,S
januari 1s,-919.2,-866.24,P
url http w,-293.02,-305.89,S
new cd rom,-741.33,-702.24,P
empti ,-23.89,-21.65,P
spring 200,-1350.03,-1503.96,S
schedul cr,-1566.26,-1791.64,S
turbin swa,-489.79,-513.99,S
ee daili s,-228.55,-245.5,S
hplr liqui,-566.04,-604.56,S
presid ceo,-928.3,-872.97,P
outstand l,-473.22,-401.25,P
request re,-3008.3,-2644.03,P
sell adver,-1391.32,-1327.64,P
url http w,-630.82,-630.21,P
origin mes,-1261.38,-1350.36,S
65 new sof,-505.01,-469.31,P
dear sir f,-1938.18,-1846.5,P
cancer nue,-5102.45,-4549.75,P
messag rep,-895.43,-823.34,P
north coun,-960.08,-910.93,P
pleas resp,-2267.46,-2183.55,P
fw modifi ,-2175.89,-2333.52,S
tenaska iv,-335.09,-363.24,S
power port,-5744.13,-6483.98,S
creditfixt,-486.16,-437.12,P
tue jul 30,-1820.54,-1912.13,S
greatwood ,-274.89,-280.87,S
new perspe,-4644.02,-5491.96,S
first get ,-970.62,-1064.15,S
http sf ne,-441.34,-461.22,S
yo u ar e ,-148.45,-136.87,P
speed hire,-956.16,-1015.55,S
cd billig ,-719.76,-662.79,P
cp l daren,-509.89,-577.32,S
iatl 14 fi,-959.19,-1148.9,S
get strang,-902.19,-950.54,S
mon feb 04,-1025.26,-1090.83,S
took week ,-175.61,-176.08,S
order role,-640.62,-561.57,P
pastoria d,-367.62,-404.89,S
non decim ,-594.81,-610.96,S
schedul vi,-274.32,-307.14,S
give somet,-628.23,-612.43,P
sum v init,-5440.63,-6244.49,S
research g,-139.47,-146.79,S
guido van ,-2113.69,-2192.48,S
kill ena e,-1299.81,-1514.34,S
freightmar,-210.34,-182.69,P
one millio,-231.53,-216.47,P
read maste,-375.54,-398.87,S
great week,-575.28,-561.27,P
corel adob,-1130.19,-972.76,P
fw black m,-471.08,-519.08,S
day 26 txu,-82.82,-88.43,S
nope true ,-526.04,-555.66,S
sum progre,-4807.01,-5212.48,S
thu aug 01,-568.94,-599.71,S
work comma,-1490.78,-1439.38,P
utf 8 q ro,-281.45,-244.46,P
empti ,-23.89,-21.65,P
smooth met,-1663.88,-1858.57,S
comput pri,-1729.35,-1629.46,P
ilug popul,-1062.37,-1030.52,P
8 1098 qs ,-979.26,-1079.32,S
lift suppo,-526.05,-483.94,P
ray wallac,-249.14,-261.69,S
gtv ii wee,-1275.5,-1369.96,S
thi web si,-6168.53,-5976.88,P
enron hpl ,-178.87,-220.0,S
tue aug 20,-428.0,-453.38,S
fulli staf,-1430.39,-1261.22,P
photo self,-619.19,-619.72,S
fwd paliou,-963.38,-912.22,P
ask join k,-1605.94,-1560.91,P
url http w,-218.29,-233.92,S
offer vari,-4403.77,-4074.73,P
mpr 6 20 0,-3060.54,-3460.3,S
crazi site,-1780.75,-1568.99,P
want thank,-2268.39,-2456.05,S
intens sum,-412.82,-480.86,S
right inte,-468.29,-495.82,S
partit amb,-269.88,-291.61,S
inn share ,-713.27,-743.28,S
3 405 lang,-1174.37,-1332.86,S
empti ,-23.89,-21.65,P
cnet catch,-1109.31,-1121.3,S
stuart zis,-178.31,-199.82,S
lrec 3rd c,-12310.34,-14098.81,S
inoffici e,-1584.66,-1731.0,S
empti ,-23.89,-21.65,P
commerci n,-11757.15,-11117.09,P
vacat carr,-1268.69,-1286.12,S
struggl st,-112.48,-104.55,P
afford onl,-493.0,-432.94,P
bill copen,-479.9,-468.4,P
game advis,-3271.79,-3112.56,P
2 nd rev m,-1169.98,-1335.32,S
txu fuel c,-153.88,-170.88,S
joseph bar,-335.77,-361.17,S
fw product,-1664.8,-1723.73,S
mon 26 aug,-286.93,-299.82,S
ilug 4 000,-1995.25,-1893.98,P
empti ,-23.89,-21.65,P
netco item,-3484.42,-3723.52,S
q thi dear,-1465.79,-1594.43,S
url http b,-1116.02,-1168.27,S
ua appeal ,-3444.53,-3746.52,S
help want ,-581.57,-540.13,P
utf 8 q sw,-287.1,-256.02,P
seen nbc c,-1015.33,-914.43,P
fast deliv,-315.58,-285.26,P
win notif ,-3183.06,-3005.16,P
window xp ,-474.47,-435.81,P
juli webca,-418.5,-412.73,P
tonight so,-190.96,-190.9,P
posit deve,-410.13,-416.76,S
increas sp,-472.29,-427.97,P
5 1305 qs ,-2353.89,-2565.83,S
tim whi sp,-670.9,-708.36,S
hello jm n,-955.69,-865.64,P
updat cvsr,-4273.52,-4630.72,S
confirm or,-300.59,-315.79,S
empti ,-23.89,-21.65,P
sat 24 aug,-1389.45,-1496.78,S
semant res,-475.7,-533.32,S
